,,Week 4 - part 2 TRAINING,,
,,,,
,,SECOND HALF OF THE WEEK - LONGER SCENARIO TRAINING ,,
,,,,
,,Topic congruent 1,Topic congruent 2,Topic incongruent
ACADEMICS,Image,https://drive.google.com/file/d/10SQmYfVuHzcGYJjADi5bmTtG4gXr2V9x/view?usp=sharing,https://drive.google.com/file/d/1jbig7acVpaxW8vRM72SXPqPyayenD4WK/view?usp=sharing,https://drive.google.com/file/d/1Ov4_xFiqnjvKNN5Un7xhg3L3BWieCiaz/view?usp=sharing
,,You have a science test next week that's going to count for a lot of your grade. You haven't understood this unit's course material that well and you wonder how the test is going to go.,"During tonight's parent-teacher conference, your guardian is going to talk to your math teacher. You're not doing well in math, and you haven't told your guardian this yet. ","You are meeting with your teacher. To make it on-time, you just walked up two flights of stairs quickly, and feel your heart beating very rapidly."
,,aca_long_2b,aca_long_3b,phys_long_2b
,,Important test,Not doing well in math,Walking up stairs
Thoughts,Positive/adaptive,This test will go well. ,I have been trying really hard in that class. ,I am excited for the meeting. 
,Positive/adaptive,I can ask for help to study for this test. ,My guardian will be proud of me that I'm trying hard. ,I made it up those stairs really quickly. 
,Negative/maladaptive,My teacher will think I'm dumb if I do not do well. ,My teacher will tell my parents I am not doing well. ,Am I having a heart attack? 
,Tolerating negative or resilience ,"I think that I may never catch on, but know that if I try, I'll be able to.","My guardian may be upset, but that is something that I can understand. ","I wonder about all the reasons I could be so out of breath, but decide it is normal when rushing to a meeting. "
,Tolerating negative or resilience ,"This class is so hard to keep up in, but decide to try a little harder.","My parents will think I need some extra help, and I am okay with that. ","I wonder if my teacher will notice how out of breath I am, but decide it is okay if she does notice. "
Feelings,Positive/adaptive,I feel excited to prove myself wrong. ,I feel happy that my guardian gets to learn about my progress. ,I'm happy I made the meeting on time. 
,Positive/adaptive,I feel ready to get going with studying. ,I'm feeling calm knowing that my guardian will accept me no matter what. ,I'm feeling excited now that my blood is pumping. 
,Negative/maladaptive,I am worried about taking this test and failing.,I am nervous that my guardian will be let down by my progress. ,I'm worried that there's something really wrong with me. 
,Tolerating negative or resilience ,"I'm worried about asking for help to study, but know that it'll help me get a better grade. ","I feel embarrassed that my guardian will learn about my lack of progress, but decide it is best for them to know. ","I feel embarrassed about being out of breath, but decide to listen to what my teacher has to say. "
,Tolerating negative or resilience ,"I am scared about failing, but know that trying is what matters. ","I feel bad that I am a bit behind, but realize these things happen. ","I'm panicking a little about whether I'm going to be ok, but remind myself that it's normal to feel out of breath after walking up a bunch of stairs. "
Behaviors,Positive/adaptive,I'll study really hard and ask my teacher for help if I need to.,I take some deep breaths while my guardian is talking to my teacher. ,I take a few deep breaths. 
,Positive/adaptive,I'll ask my friends in the class questions if I don't understand something. ,I'll ask my guardian for advice. ,I take a few sips from my water bottle. 
,Negative/maladaptive,I'll pretend to be sick on the day of the class so I don't have to take the test. ,I'll blame my grades on my teacher. ,I start looking up symptoms of a heart attack online to see if I'm dying. 
,Tolerating negative or resilience ,"I don't want to tell my parents about how difficult this class is, but decide to tell them anyways. ","I will want to get upset, but decide to keep calm when my guardian gets home.","I feel the urge to tell my teacher that something's really wrong with me, but remind myself that I'm actually OK. "
,Tolerating negative or resilience ,"I really don't want to study, but I know it will pay off on the test. ","I may want to give up on math, but decide to keep trying because I need to pass this class.","I tell myself that I'm so nervous about this meeting that my heart is beating quickly, but remind myself that it's actually just my body's reaction to coming up the stairs quickly. "
SOCIAL SITUATIONS,Image,https://drive.google.com/file/d/16jJWf3eLYQiWH3-6BkyLghQMMaNLxJay/view?usp=sharing,https://drive.google.com/file/d/1huKsrt0vscJdYRLnIRD8v8_YgIjZl1Tm/view?usp=sharing,https://drive.google.com/file/d/1PNlqc0Jg4bm9KOsakVSsKmJDaQwqLGrB/view?usp=sharing
,,"You and your friends are shopping at the mall. You go to the food court and get slushies, and accidentally spill your red slushie down the front of your new white shirt.","You are at a quiet restaurant with a lot of your family members for dinner. While taking a drink of your water, you accidently drop the glass on the floor and it shatters.","You met a cute peer in one of your classes. After school, you notice that they started following you."
,,soc_long_2b,soc_long_3b,sm_long_2b
,,Spilled slushie,Shattered glass,Cute peer on social media
Thoughts,Positive/adaptive,I think about how many people this has probably happened to. ,I think about how everyone sometimes has clumsy moments. ,I think they want to get to know me.
,Positive/adaptive,I think about how my parents will get a kick out of this.,People in my family have dropped stuff at restaurants in the past. ,I think it's flattering.
,Negative/maladaptive,I think I will look sloppy in front of my friends. ,I have to be an embarrassment. ,They're probably making fun of my pictures. 
,Tolerating negative or resilience ,"It feels like my friends are judging me, but decide they probably don't really care. ","The waiter will be irritated, but I'll apologize and offer to help clean up.","I bet they'll stop following me after they see what I post. But, they probably won't actually unfollow me."
,Tolerating negative or resilience ,"I am getting a lot of stares, but it could be that they think the slushie looks good.","I think about how my family may be annoyed, but I can handle that. ","I think they may not like my profile, but decide they probably won't put that much thought into it. "
Feelings,Positive/adaptive,I feel lucky I didn't drop the whole slushie. ,I'm able to stay calm. ,I feel flattered that they wanted to follow me. 
,Positive/adaptive,I'm confident my parent will be able to get the stain out.,I'm happy that the waiter doesn't seem to mind that much. ,I feel energized by the add. 
,Negative/maladaptive,I feel like a fool and want to say sorry. ,I have a knot in my stomach after the whole restaurant looked at me. ,I wonder if the add was an accident. 
,Tolerating negative or resilience ,"I'm mad that I wasted my money, but know that I'll be ok. ","I'm embarrassed that I dropped the glass, but know that people drop things all of the time. ","I feel curious about the reason they added me, but realize it is just because they wanted to. "
,Tolerating negative or resilience ,"I'm embarrassed that I have this huge stain on my white shirt, but probably no one else cares. ","I feel bad, but remind myself that I'll forget about this in a few days. ","I feel worried about what they think of me, but know that I can deal with not knowing. "
Behaviors,Positive/adaptive,I laugh with my friends about my spill. ,I offer to leave extra money for the tip. ,I add more fun pictures. 
,Positive/adaptive,I clean up and keep shopping. ,"I offer to do extra chores at home, so money can be left to replace the glass. ",I talk to my mom about how excited I am.
,Negative/maladaptive,I stay silent the rest of the time we're shopping. ,I cry because I feel terrible. ,I unfollow the people that they might not like. 
,Tolerating negative or resilience ,"I want to go home, but stay at the mall. ","I want to never come back to the restaurant, but will say yes to coming back if my family wants to come back. ","I want to message them and ask about the add, but decide to not put much thought into the add."
,Tolerating negative or resilience ,"I feel like crying, but take a deep breath and keep shopping with my friends. ","I want to cry, but decide that would not be helpful. ","I want to gossip about the add to my friends, but decide to stay modest. "
PHYSICAL HEALTH ,Image,https://drive.google.com/file/d/1Ov4_xFiqnjvKNN5Un7xhg3L3BWieCiaz/view?usp=sharing,https://drive.google.com/file/d/1_2rE9XRzKQTqhk0TQjBqftLX-RvYtkqL/view?usp=sharing,https://drive.google.com/file/d/1FK97F0rS8LTIXbo5OdxVuIloeA1-jeHr/view?usp=sharing
,,"You are meeting with your teacher. To make it on-time, you just walked up two flights of stairs quickly, and feel your heart beating very rapidly.","You have to give a presentation in your international language class today. When you stand up in front of the class, you feel your cheeks get hot and your hands start to tremble.",Your friend is having a huge birthday party and most of the people in your grade will be there. You know you can't afford a gift for your friend. 
,,phys_long_2b,phys_long_3b,home_long_2b
,,Walking up stairs,Presentation in class,Can't afford a gift
Thoughts,Positive/adaptive,I am excited for the meeting. ,It's normal to feel a little warm when you're anxious about presenting. ,It'll be good to see lots of the people in my grade. 
,Positive/adaptive,I made it up those stairs really quickly. ,I've done everything I can to prepare for this presentation. ,My friend will be happy that I'm able to go. 
,Negative/maladaptive,Am I having a heart attack? ,Everyone will see that my hands are shaking. ,My friend will be embarrassed to have me because I don't have a gift. 
,Tolerating negative or resilience ,"I wonder about all the reasons I could be so out of breath, but decide it is normal when rushing to a meeting. ","I want to sit back down, but instead go forward with the presentation. ","I think about how I should've brought a gift, but know that my friend is glad I'm there."
,Tolerating negative or resilience ,"I wonder if my teacher will notice how out of breath I am, but decide it is okay if she does notice. ","I want to cover my face, but stand up tall and present anyway.","If people judge me for not bringing a gift, I'll still have a good time at the party. "
Feelings,Positive/adaptive,I'm happy I made the meeting on time. ,I'm relieved to get this presentation over with. ,I feel happy to be around all of my friends. 
,Positive/adaptive,I'm feeling excited now that my blood is pumping. ,I'm happy with how much I've prepared for this presentation. ,I feel enthusiastic about sharing my good energy. 
,Negative/maladaptive,I'm worried that there's something really wrong with me. ,I'm worried that I'm going to pass out. ,I feel guilty for not bringing a present. 
,Tolerating negative or resilience ,"I feel embarrassed about being out of breath, but decide to listen to what my teacher has to say. ","I'm nervous that people can see my hands shaking, but they probably won't be able to see from where they're sitting. ","I feel bad, but decide the party will go on."
