 ,SESSION 1 TRAINING,,,,,,,,,,,
,,,,,,,,,,,,
,FIRST HALF OF THE WEEK - BRIEF SCENARIO TRAINING ,,,,,,,,,,,
,,,,,,,,,,,,
,TOPIC CONGRUENT - 10 SCENARIOS FOR EACH DOMAIN,,,,,,,,,,,
,,,,,,,,,,,,
,"Note: 1 scenario has to have a negative ending, 2 scenarios have to have a resilience ending ",,,,,,,,,,,
,,,,,,,,,,,,
,ACADEMICS,,,,,,,,,,,
Scenario name,Scenario,Second part (resilience),Image ,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,
History presentation,"You have a lot of work to do for your history class. One of your homework assignments is to do research about a historical figure and make a well prepared, lengthy presentation to your classmates. As you imagine yourself giving your presentation, you feel",,https://drive.google.com/file/d/1_2rE9XRzKQTqhk0TQjBqftLX-RvYtkqL/view?usp=sharing,aca_045,excited,Are you looking forward to giving your presentation in history class? ,Y,positive,,,,4
Running out of time,"You are taking a test in your environmental science class. You only have ten minutes left and you still have three long problems to get through. When you think about your ability to complete the test, you feel",,https://drive.google.com/file/d/10SQmYfVuHzcGYJjADi5bmTtG4gXr2V9x/view?usp=sharing,aca_076,doubtful,Will you be able to finish your test in time?,N,negative,,,,4
Late for class,"You wake up and realize that you're late for your first online class of the day. You log into the meeting and when you do, your teacher stops talking. You apologize for being late in the chat, and spend the rest of the class feeling",,https://drive.google.com/file/d/11hkKoc95B-7-zuWUGB6ZlYkbaj1oMxzZ/view?usp=sharing,aca_025,calm,Are you anxious for the rest of class because you were late?,N,positive,,,,4
Online test,"You are taking the first online test in your world history class. In the middle of the test, your Internet cuts out. You think about losing time on the test and feel  ","After a minute, your Internet comes back. You log back in and realize you feel more",https://drive.google.com/file/d/1XSzs9MSKzUi9VEjvSXdG4wuW6OFlE60F/view?usp=sharing,aca_078,nauseous; confident,Do you feel sick throughout the rest of your exam? ,N,resilience,,,,4
Making a mistake,"You're working on math homework with a few friends. You say an answer to the first question, and your friend laughs and says that you're wrong. While you're checking your work, you think that you're",,https://drive.google.com/file/d/19LTORZzAchkOvyEkS5U2IX9XeckQm9vG/view?usp=sharing,aca_074,smart,Do you think that you're dumb because you made a mistake?,N,positive,,,,4
The calculator,"Your borrowed your friend's calculator in math class today. When you get home, you notice that the calculator is still in your backpack. You think that your friend will",,https://drive.google.com/file/d/1u9mrb7Ub-1zmzpfqgLBo9JlE2owMijOF/view?usp=sharing,aca_055,understand,Will your friend think that you took their calculator on purpose?,N,positive,,,,4
The late night,"As you're finishing your homework at midnight, you realize you still have a couple of math problems left. You plan to wake up a little early to finish them. While you're setting your alarm and thinking about your plan, you feel",,https://drive.google.com/file/d/1C9qzCVMZ7rrXL8Njc7rKFEyQWGercs6i/view?usp=sharing,aca_083,confident,Are you anxious about your plan to finish your homework in the morning?,N,positive,,,,4
Class presentation,You have a big presentation in one of your classes. You know everyone's eyes are on you as you stand in front of the class. You feel ,"You give yourself a moment to collect your thoughts and begin the presentation. During the presentation, you feel",https://drive.google.com/file/d/1xaVja45dg33QaIxeOmsgatrbjM7I2cxo/view?usp=sharing,aca_012,nervous; prepared,Are you feeling prepared for your presentation?,Y,resilience,,,,4
Study buddy,"You're meeting a classmate from your online class at a local park to study. After 20 minutes, your classmate still hasn't arrived. You think they probably are",,https://drive.google.com/file/d/1GJPQZOTJ47ZRiIKEu_ijYwvfBNaT4KA5/view?usp=sharing,aca_004,coming,Did your friend stand you up?,N,positive,,,,4
Group project,"While working in a group for a project, you tell your ideas to your group. The other members of the group don't react. They are thinking about the",,https://drive.google.com/file/d/1LZX5Q9czPuvVzkKhTglyiF6nhzh1mqA1/view?usp=sharing,aca_014,project,Do the members of the group think your ideas are bad?,N,positive,,,,4
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,,
Friends making plans,You are hanging out with some friends. One of them invites another one to come over to their house on a different day without you. You think about it and realize you feel,,https://drive.google.com/file/d/1fiU4LXhMtwbHsk-TL8j4fPXdxTFpO-rz/view?usp=sharing,soc_020,alright,"Are you upset that you weren't invited, too?",N,positive,2,5,,
Your friend hasn't liked your post,You posted a new picture a few hours ago. You check to see who's liked it and notice that your best friend hasn't liked it yet. You think about how your best friend doesn't check their feed often and you feel,"You look at who did like your photo, and notice other good friends have liked it. When you think about your best friend not liking your post yet, you are",https://drive.google.com/file/d/1xJHDDEq_Pcuyo7r3BJ3CX-cr5YI7YkrO/view?usp=sharing,sm_025_r,sad; accepting,Is it okay that your bestfriend hasn't liked your post yet?,Y,resilience,checking,2,,
Thoughts at the train station,"You are at a metro stop waiting for a train. Standing by the edge, you realize you've never thought about how far a drop it is to the rails below. You are ",,https://drive.google.com/file/d/1ClAbuwZR2mkRJo44BvUWsBonRFgqp8o9/view?usp=sharing,gen_004,fascinated,Are you calm as you look at the rails below? ,Y,positive,1,3,,
Low score on test,You have recieved a poor score on a test and your guardian has to sign off on it since the grade is low. They don't say anything when you show them your test. They are probably feeling ,,https://drive.google.com/file/d/1Srg7WWskU86agc1Xzr0g_QYySWH4zGS8/view?usp=sharing,hom_006,disappointed,Is your guardian disappointed that you got a bad grade?,Y,Negative,2,5,,
Graduation plans ,"You've decided to get a job right after high school. All of your close friends are applying to college. When you think about your decision not to go to college right away, you feel",,https://drive.google.com/file/d/1JKUinIevBXYcP_VV15nIa4MzJxgnkiOX/view?usp=sharing,aca_034,satisfied,Are you happy with your decision to get a job right after high school?,Y,positive,,2,,
,,,,,,,,,,,,
,SOCIAL SITUATIONS,,,,,,,,,,,
Scenario name,Scenario,Second part (resilience),Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,
Hallway encounter,You run into someone you don't know well in the hallway who you think is really cool. You ask them how they are doing and they continue to keep walking. This acquaintance probably thinks you are ,,https://drive.google.com/file/d/1_pkIPl625P1Twzbfaw30Kks25pgV-tOh/view?usp=sharing,soc_001,nice,Do this other student dislike you?,N,positive,1,4,,
Birthday party,"Your grandmother is organizing a birthday party for you at her home. She invited a lot of people who will all be there for you. When you think about all of the people coming, you feel",You remember they are all coming to celebrate you. This makes you feel,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,soc_019_r,nervous; excited,Are you excited about all the attention you will receive?,Y,resilience,4,,,
Friends laughing and looking,"A group of your friends are whispering and looking in your direction. Some of them are laughing really hard. You don't have time to go say hi, and you think they were probably laughing at a",,https://drive.google.com/file/d/12y3RCcUA6c2px4Via0vV9blbTbjsS6yw/view?usp=sharing,soc_005,joke,Were they laughing at you?,N,positive,1,4,,
Halloween party,"You're invited to a Halloween party and you'll only know a couple of people there. You decide to wear a really elaborate costume. When you arrive, everyone looks at you and probably think that you are ",,https://drive.google.com/file/d/1i91Bi8SBItRT8GXGywJTYi-rpWDMEakF/view?usp=sharing,soc_009,creative,Will people negatively judge your costume?,N,positive,1,4,,
Sending a photo,The person you have a crush on starts sending you funny pictures on social media. Today you notice they opened your last picture and didn't respond. They must have ,,https://drive.google.com/file/d/1KHcNfS-rLgCp7he0M7v9PyUWv91bKKlq/view?usp=sharing,soc_002,forgotten,Did your crush forget to respond to you?,Y,negative,1,4,,
