,,Week 1 - part 2 TRAINING,,
,,,,
,,SECOND HALF OF THE WEEK - LONGER SCENARIO TRAINING ,,
,,,,
,,Topic congruent 1,Topic congruent 2,Topic incongruent
ACADEMICS,Image,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,https://drive.google.com/file/d/10SQmYfVuHzcGYJjADi5bmTtG4gXr2V9x/view?usp=sharing,https://drive.google.com/file/d/1ilobDwcYGrbmqNzcFd8sPD-t-nwvuy9Y/view?usp=sharing
,,Your English teacher calls on you to answer a question about the book you just read. You say your best answer and your peers are quiet.,You have a science test next week that's going to count for a lot of your grade. You haven't understood this unit's course material that well and you wonder how the test is going to go.,You go to your grandparents' home for the first time in a while and notice that your grandfather looks a lot less healthy than you remember. No one in your family mentions it. 
,,aca_long_1a,aca_long_2a,gen_long_1a
,TITLE,Answering a question,Important test,Aging grandfather
Thoughts,Positive/adaptive,My answer was thoughtful. ,I'm a good student. ,I wonder how my grandfather is feeling. 
,Positive/adaptive,It was nice to be able to share what I think about the book.,I'll do my best on my test next week. ,He's happy to see me. 
,Negative/maladaptive,My classmates are judging my wrong answer. ,My parents will be upset if I don't do well. ,My grandfather must be dying.
,Tolerating negative or resilience ,"My answer sounded dumb because I didn't understand the book, but no one will remember tomorrow.","I'm dumb for not understanding this material, but I bet if I study really hard I can learn some of the material.","I think about how miserable I would be if he passes away, but then remind myself to enjoy my time with him today. "
,Tolerating negative or resilience ,"If my English teacher didn't call on me, I wouldn't have made a fool of myself. I'll have a better answer next time. ","I'll fail this test, but that doesn't mean I'll fail the class. ","My family must be keeping a secret about his health, but then tell myself that everyone ages. "
Feelings,Positive/adaptive,I'm glad my teacher gave me the opportunity to share my answer. ,I'm confident that I can study really hard for the test. ,I feel happy to see my grandfather.
,Positive/adaptive,I'm satisfied with how I said my answer. ,I feel good about how I've done well in the class so far. ,I feel excited to catch him up on all the new things that are going on in my life. 
,Negative/maladaptive,I was scared while answering,I'm scared to take the test. ,I'm worried about how he looks. 
,Tolerating negative or resilience ,"I'm disappointed in myself because I couldn't say what I wanted to say, but I think my teacher understood my point. ","I'm embarrassed to ask for help, but that feeling will pass. ","I'm scared to lose him, but know that I can handle grief. "
,Tolerating negative or resilience ,"I was really anxious while I was answering, but was able to manage my feelings.","I'm nervous for my test next week, but I'll be able to handle it. ","I feel anxious about his health, but tolerate the anxiety. "
Behaviors,Positive/adaptive,"I think about my answer, smile, and sit back. ",I'll ask questions in class when I don't understand something this week.,I decide to give him a big hug and smile. 
,Positive/adaptive,I'll review my notes from this book before my test.,I'll ask my teacher for help this week. ,I make a funny joke to get my grandparents laughing. 
,Negative/maladaptive,I won't answer again in class. ,I'll avoid studying for the test when I feel anxious. ,I make a concerned face at my family. 
,Tolerating negative or resilience ,"I feel like I should crack a joke so my friends forget about my answer, but don't.","I want to avoid asking for help, but I reach out to my teacher anyway. ","I want to leave and cry, but decide to stay with the family and engage in conversation. "
,Tolerating negative or resilience ,"I want to cry, but I take a moment to calm down and focus on the teacher's next question. ","I really don't want to make flash cards, but I will anyway because I know it'll be helpful for the test. ",I gently ask my grandfather how he's doing and accept any answer he gives me.
SOCIAL SITUATIONS,Image,https://drive.google.com/file/d/1lgjNvuXqVbMqHsO7EIZmc9XR6L6rg8fw/view?usp=sharing,https://drive.google.com/file/d/16jJWf3eLYQiWH3-6BkyLghQMMaNLxJay/view?usp=sharing,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing
,,You are sitting on the bus and see your friend get on. They walk past you and sit with another friend.,"You and your friends are shopping at the mall. You go to the food court and get slushies, and accidentally spill your red slushie down the front of your new white shirt.",Your English teacher calls on you to answer a question about the book you just read. You say your best answer and your peers are quiet.
,,soc_long_1a,soc_long_2a,aca_long_1a
,,Sitting on the bus,Spilled slushie,Answering a question
Thoughts,Positive/adaptive,I'm able to sit here alone for the rest of the ride. ,I think about how this is a common accident. ,My answer was thoughtful. 
,Positive/adaptive,My friend probably had something to talk about with the other friend. ,I think about how it will be a funny story. ,It was nice to be able to share what I think about the book.
,Negative/maladaptive,My friend walked past me on purpose. ,I think I will look silly in front of everyone. ,My classmates are judging my wrong answer. 
,Tolerating negative or resilience ,"It feels like my friend is mad at me, but they would have said something. ","I'm annoying to my friends right now, but they will understand that accidents happen.","My answer sounded dumb because I didn't understand the book, but no one will remember tomorrow."
