Failed to upload the following images:
"Title: Una presentación grande, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation_1.jpg"
"Title: Obtener una oportunidad, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/interview.jpg"
"Title: Discutir la evaluación, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/envelope.jpg"
"Title: Mente va en blanco, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/raisinghand.jpg"
"Title: Visitas importantes, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/prepare.jpg"
"Title: Lograr tus objetivos, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/resume_1.jpg"
"Title: Mostrar tu experiencia, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/expertise.jpg"
"Title: Recuperándote despues de un error, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation_2.jpg"
"Title: El curso difícil, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/coding.jpg"
"Title: Presentación importante, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/award.jpg"
"Title: Lograr tus objetivos, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/resume_1.jpg"
"Title: Tu Currículum, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/resume.jpg"
"Title: Proyecto de escritura, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/report.jpg"
"Title: Trabajando para salir adelante, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/deadline-es.jpg"
"Title: Esperando grandes noticias, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/email_2.jpg"
"Title: Obtener una oportunidad, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/interview.jpg"
"Title: El curso difícil, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/coding.jpg"
"Title: Cambiando tu trayectoria, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/application.jpg"
"Title: Revisando tu trabajo, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/bossmeeting.jpg"
"Title: Un trago de agua, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/members.jpg"
"Title: Cambiando tu trayectoria, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/application.jpg"
"Title: Aplicando a trabajos, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/response.jpg"
"Title: Revisando tu trabajo, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/bossmeeting.jpg"
"Title: Certidumbre de estar en lo correcto, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/conversation.jpg"
"Title: Anticipación de entrevista, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/shaky.jpg"
"Title: Quedando atrás, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/office.jpg"
"Title: Errores en el trabajo, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/rough.jpg"
"Title: Presentación estresante, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/department.jpg"
"Title: Trabajando para salir adelante, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/workplace.jpg"
"Title: Mostrar tu experiencia, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/expertise.jpg"
"Title: Revisando tus cualificaciones, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/application.jpg"
"Title: Tomar una decisión, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/college.jpg"
"Title: Un tropiezo repentino, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/recover.jpg"
"Title: Presentación de recaudación de fondos, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/fundraising_1.jpg"
"Title: Presentación de recaudación de fondos, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/fundraising.jpg"
"Title: Limitaciones futuras, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/newsapp.jpg"
"Title: Obtener una oportunidad, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/interview.jpg"
"Title: Dando una presentación, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation.png"
"Title: El curso difícil, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/coding.jpg"
"Title: Pensando en preguntas, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/lecture.jpg"
"Title: Aplicando a trabajos, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/response.jpg"
"Title: Opiniones fuertes, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/evaluation.jpg"
"Title: Tartamudeo en la oficina, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/professor.jpg"
"Title: Tu Currículum, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/resume.jpg"
"Title: Participación, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/topic.jpg"
"Title: No invitado a cenar, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/conversation.jpg"
"Title: Reunión uno a uno, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/boss.jpg"
"Title: Obtener una oportunidad, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/interview.jpg"
"Title: Mal rumor, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/rumor.jpg"
"Title: Ingresos adicionales, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/anxious.jpg"
"Title: Sentirse diferente, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/zoom_1.jpg"
"Title: Presentación importante, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/award.jpg"
"Title: Corrección rápida, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/corridor.jpg"
"Title: Hilo de pensamientos, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/slides.jpg"
"Title: Trabajo inacabado, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/todo.jpg"
"Title: Usando tecnología diferente, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/laptop.jpg"
"Title: Esperando grandes noticias, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/email_2.jpg"
"Title: Opinión importante, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/opinion.jpg"
"Title: Contribuir a una discusión, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/discussion.jpg"
"Title: Resultados de la evaluación, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/report_1.jpg"
"Title: Una presentación importante, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/audience2.jpg"
"Title: Mercado de trabajo, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/economy.jpg"
"Title: Puerta cerrada, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/office_1.jpg"
"Title: Mente va en blanco, URL: https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/raisinghand.jpg"
